Infinitive,заля́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заля́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заля́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заля́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заля́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заля́паю
2nd Sing,заля́паешь
3rd Sing,заля́пает
1st Pl,заля́паем
2nd Pl,заля́паете
3rd Pl,заля́пают
Past M,заля́пал
Past F,заля́пала
Past N,заля́пало
Past PL,заля́пали
Imp S,заля́пай
Imp PL,заля́пайте
