Infinitive,заха́живать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заха́живающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заха́живавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заха́живая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заха́живав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,заха́живавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,заха́живаю
2nd Sing,заха́живаешь
3rd Sing,заха́живает
1st Pl,заха́живаем
2nd Pl,заха́живаете
3rd Pl,заха́живают
Past M,заха́живал
Past F,заха́живала
Past N,заха́живало
Past PL,заха́живали
Imp S,заха́живай
Imp PL,заха́живайте
