Infinitive,заткну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заткну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,за́ткнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заткну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заткну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заткну́
2nd Sing,заткнёшь
3rd Sing,заткнёт
1st Pl,заткнём
2nd Pl,заткнёте
3rd Pl,заткну́т
Past M,заткну́л
Past F,заткну́ла
Past N,заткну́ло
Past PL,заткну́ли
Imp S,заткни́
Imp PL,заткни́те
