Infinitive,засвиде́тельствовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засвиде́тельствовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засвиде́тельствованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засвиде́тельствовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засвиде́тельствовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засвиде́тельствую
2nd Sing,засвиде́тельствуешь
3rd Sing,засвиде́тельствует
1st Pl,засвиде́тельствуем
2nd Pl,засвиде́тельствуете
3rd Pl,засвиде́тельствуют
Past M,засвиде́тельствовал
Past F,засвиде́тельствовала
Past N,засвиде́тельствовало
Past PL,засвиде́тельствовали
Imp S,засвиде́тельствуй
Imp PL,засвиде́тельствуйте
