Infinitive,зажму́риваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зажму́ривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зажму́ривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зажму́риваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зажму́ривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зажму́риваюсь
2nd Sing,зажму́риваешься
3rd Sing,зажму́ривается
1st Pl,зажму́риваемся
2nd Pl,зажму́риваетесь
3rd Pl,зажму́риваются
Past M,зажму́ривался
Past F,зажму́ривалась
Past N,зажму́ривалось
Past PL,зажму́ривались
Imp S,зажму́ривайся
Imp PL,зажму́ривайтесь
