Infinitive,застира́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,застира́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засти́ранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,застира́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,застира́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,застира́ю
2nd Sing,застира́ешь
3rd Sing,застира́ет
1st Pl,застира́ем
2nd Pl,застира́ете
3rd Pl,застира́ют
Past M,застира́л
Past F,застира́ла
Past N,застира́ло
Past PL,застира́ли
Imp S,застира́й
Imp PL,застира́йте
