Infinitive,задви́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,задви́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,задви́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,задви́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,задви́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,задви́ну
2nd Sing,задви́нешь
3rd Sing,задви́нет
1st Pl,задви́нем
2nd Pl,задви́нете
3rd Pl,задви́нут
Past M,задви́нул
Past F,задви́нула
Past N,задви́нуло
Past PL,задви́нули
Imp S,задви́нь
Imp PL,задви́ньте
