Infinitive,"запыха́ться, запы́хаться"
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запыха́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,запы́хавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запыха́вшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запы́хавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запыха́юсь
2nd Sing,запыха́ешься
3rd Sing,запыха́ется
1st Pl,запыха́емся
2nd Pl,запыха́етесь
3rd Pl,запыха́ются
Past M,запыха́лся
Past F,запыха́лась
Past N,запыха́лось
Past PL,запыха́лись
Imp S,запыха́йся
Imp PL,запыха́йтесь
