Infinitive,закопа́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закопа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зако́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закопа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закопа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закопа́ю
2nd Sing,закопа́ешь
3rd Sing,закопа́ет
1st Pl,закопа́ем
2nd Pl,закопа́ете
3rd Pl,закопа́ют
Past M,закопа́л
Past F,закопа́ла
Past N,закопа́ло
Past PL,закопа́ли
Imp S,закопа́й
Imp PL,закопа́йте
