Infinitive,забормота́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,забормота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забормота́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,забормота́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,забормочу́
2nd Sing,забормо́чешь
3rd Sing,забормо́чет
1st Pl,забормо́чем
2nd Pl,забормо́чете
3rd Pl,забормо́чут
Past M,забормота́л
Past F,забормота́ла
Past N,забормота́ло
Past PL,забормота́ли
Imp S,забормочи́
Imp PL,забормочи́те
