Infinitive,заму́читься
Zaliznyak Class,4a // 1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заму́чившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заму́чившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заму́чусь
2nd Sing,заму́чишься
3rd Sing,заму́чится
1st Pl,заму́чимся
2nd Pl,заму́читесь
3rd Pl,заму́чатся
Past M,заму́чился
Past F,заму́чилась
Past N,заму́чилось
Past PL,заму́чились
Imp S,заму́чься
Imp PL,заму́чьтесь
