Infinitive,запрограмми́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запрограмми́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запрограмми́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запрограмми́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запрограмми́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запрограмми́рую
2nd Sing,запрограмми́руешь
3rd Sing,запрограмми́рует
1st Pl,запрограмми́руем
2nd Pl,запрограмми́руете
3rd Pl,запрограмми́руют
Past M,запрограмми́ровал
Past F,запрограмми́ровала
Past N,запрограмми́ровало
Past PL,запрограмми́ровали
Imp S,запрограмми́руй
Imp PL,запрограмми́руйте
