Infinitive,зата́лкивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зата́лкивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зата́лкивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зата́лкиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зата́лкивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,зата́лкивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,зата́лкивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,зата́лкиваю
2nd Sing,зата́лкиваешь
3rd Sing,зата́лкивает
1st Pl,зата́лкиваем
2nd Pl,зата́лкиваете
3rd Pl,зата́лкивают
Past M,зата́лкивал
Past F,зата́лкивала
Past N,зата́лкивало
Past PL,зата́лкивали
Imp S,зата́лкивай
Imp PL,зата́лкивайте
