Infinitive,завози́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,завозя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,завози́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завози́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,завозя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,завози́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,завози́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,завожу́
2nd Sing,заво́зишь
3rd Sing,заво́зит
1st Pl,заво́зим
2nd Pl,заво́зите
3rd Pl,заво́зят
Past M,завози́л
Past F,завози́ла
Past N,завози́ло
Past PL,завози́ли
Imp S,завози́
Imp PL,завози́те
