Infinitive,заволнова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заволнова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заволнова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заволну́юсь
2nd Sing,заволну́ешься
3rd Sing,заволну́ется
1st Pl,заволну́емся
2nd Pl,заволну́етесь
3rd Pl,заволну́ются
Past M,заволнова́лся
Past F,заволнова́лась
Past N,заволнова́лось
Past PL,заволнова́лись
Imp S,заволну́йся
Imp PL,заволну́йтесь
