Infinitive,зафикси́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зафикси́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зафикси́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зафикси́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зафикси́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зафикси́рую
2nd Sing,зафикси́руешь
3rd Sing,зафикси́рует
1st Pl,зафикси́руем
2nd Pl,зафикси́руете
3rd Pl,зафикси́руют
Past M,зафикси́ровал
Past F,зафикси́ровала
Past N,зафикси́ровало
Past PL,зафикси́ровали
Imp S,зафикси́руй
Imp PL,зафикси́руйте
