Infinitive,заде́рживать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заде́рживающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заде́рживавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заде́рживаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заде́рживая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,заде́рживав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,заде́рживавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,заде́рживаю
2nd Sing,заде́рживаешь
3rd Sing,заде́рживает
1st Pl,заде́рживаем
2nd Pl,заде́рживаете
3rd Pl,заде́рживают
Past M,заде́рживал
Past F,заде́рживала
Past N,заде́рживало
Past PL,заде́рживали
Imp S,заде́рживай
Imp PL,заде́рживайте
