Infinitive,забинтова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,забинтова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забинто́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,забинтова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,забинтова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,забинту́ю
2nd Sing,забинту́ешь
3rd Sing,забинту́ет
1st Pl,забинту́ем
2nd Pl,забинту́ете
3rd Pl,забинту́ют
Past M,забинтова́л
Past F,забинтова́ла
Past N,забинтова́ло
Past PL,забинтова́ли
Imp S,забинту́й
Imp PL,забинту́йте
