Infinitive,заноси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,занося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заноси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,занося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заноси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заношу́сь
2nd Sing,зано́сишься
3rd Sing,зано́сится
1st Pl,зано́симся
2nd Pl,зано́ситесь
3rd Pl,зано́сятся
Past M,заноси́лся
Past F,заноси́лась
Past N,заноси́лось
Past PL,заноси́лись
Imp S,заноси́сь
Imp PL,заноси́тесь
