Infinitive,завербова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,завербова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завербо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завербова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,завербова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,завербу́ю
2nd Sing,завербу́ешь
3rd Sing,завербу́ет
1st Pl,завербу́ем
2nd Pl,завербу́ете
3rd Pl,завербу́ют
Past M,завербова́л
Past F,завербова́ла
Past N,завербова́ло
Past PL,завербова́ли
Imp S,завербу́й
Imp PL,завербу́йте
