Infinitive,заку́таться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заку́тавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заку́тавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заку́таюсь
2nd Sing,заку́таешься
3rd Sing,заку́тается
1st Pl,заку́таемся
2nd Pl,заку́таетесь
3rd Pl,заку́таются
Past M,заку́тался
Past F,заку́талась
Past N,заку́талось
Past PL,заку́тались
Imp S,заку́тайся
Imp PL,заку́тайтесь
