Infinitive,зацепи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зацепи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зацепи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зацеплю́сь
2nd Sing,заце́пишься
3rd Sing,заце́пится
1st Pl,заце́пимся
2nd Pl,заце́питесь
3rd Pl,заце́пятся
Past M,зацепи́лся
Past F,зацепи́лась
Past N,зацепи́лось
Past PL,зацепи́лись
Imp S,зацепи́сь
Imp PL,зацепи́тесь
