Infinitive,заинтересова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заинтересова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заинтересова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заинтересу́юсь
2nd Sing,заинтересу́ешься
3rd Sing,заинтересу́ется
1st Pl,заинтересу́емся
2nd Pl,заинтересу́етесь
3rd Pl,заинтересу́ются
Past M,заинтересова́лся
Past F,заинтересова́лась
Past N,заинтересова́лось
Past PL,заинтересова́лись
Imp S,заинтересу́йся
Imp PL,заинтересу́йтесь
