Infinitive,затоскова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,затоскова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затоскова́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,затоскова́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,затоску́ю
2nd Sing,затоску́ешь
3rd Sing,затоску́ет
1st Pl,затоску́ем
2nd Pl,затоску́ете
3rd Pl,затоску́ют
Past M,затоскова́л
Past F,затоскова́ла
Past N,затоскова́ло
Past PL,затоскова́ли
Imp S,затоску́й
Imp PL,затоску́йте
