Infinitive,засо́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,засо́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засо́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,засо́хну
2nd Sing,засо́хнешь
3rd Sing,засо́хнет
1st Pl,засо́хнем
2nd Pl,засо́хнете
3rd Pl,засо́хнут
Past M,засо́х
Past F,засо́хла
Past N,засо́хло
Past PL,засо́хли
Imp S,засо́хни
Imp PL,засо́хните
