Infinitive,заучи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зау́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заучу́
2nd Sing,зау́чишь
3rd Sing,зау́чит
1st Pl,зау́чим
2nd Pl,зау́чите
3rd Pl,зау́чат
Past M,заучи́л
Past F,заучи́ла
Past N,заучи́ло
Past PL,заучи́ли
Imp S,заучи́
Imp PL,заучи́те
