Infinitive,затвори́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,затвори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затвори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,затворю́сь
2nd Sing,затвори́шься
3rd Sing,затвори́тся
1st Pl,затвори́мся
2nd Pl,затвори́тесь
3rd Pl,затворя́тся
Past M,затвори́лся
Past F,затвори́лась
Past N,затвори́лось
Past PL,затвори́лись
Imp S,затвори́сь
Imp PL,затвори́тесь
