Infinitive,заезжа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заезжа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заезжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заезжа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заезжа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,заезжа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,заезжа́ю
2nd Sing,заезжа́ешь
3rd Sing,заезжа́ет
1st Pl,заезжа́ем
2nd Pl,заезжа́ете
3rd Pl,заезжа́ют
Past M,заезжа́л
Past F,заезжа́ла
Past N,заезжа́ло
Past PL,заезжа́ли
Imp S,заезжа́й
Imp PL,заезжа́йте
