Infinitive,зарегистри́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зарегистри́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зарегистри́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зарегистри́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зарегистри́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зарегистри́рую
2nd Sing,зарегистри́руешь
3rd Sing,зарегистри́рует
1st Pl,зарегистри́руем
2nd Pl,зарегистри́руете
3rd Pl,зарегистри́руют
Past M,зарегистри́ровал
Past F,зарегистри́ровала
Past N,зарегистри́ровало
Past PL,зарегистри́ровали
Imp S,зарегистри́руй
Imp PL,зарегистри́руйте
