Infinitive,засы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засы́плю
2nd Sing,засы́плешь
3rd Sing,засы́плет
1st Pl,засы́плем
2nd Pl,засы́плете
3rd Pl,засы́плют
Past M,засы́пал
Past F,засы́пала
Past N,засы́пало
Past PL,засы́пали
Imp S,засы́пь
Imp PL,засы́пьте
