Infinitive,затаи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затаи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затаённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затаи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затаи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затаю́
2nd Sing,затаи́шь
3rd Sing,затаи́т
1st Pl,затаи́м
2nd Pl,затаи́те
3rd Pl,затая́т
Past M,затаи́л
Past F,затаи́ла
Past N,затаи́ло
Past PL,затаи́ли
Imp S,затаи́
Imp PL,затаи́те
