Infinitive,заку́порить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заку́поривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заку́поренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заку́порив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заку́поривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заку́порю
2nd Sing,заку́поришь
3rd Sing,заку́порит
1st Pl,заку́порим
2nd Pl,заку́порите
3rd Pl,заку́порят
Past M,заку́порил
Past F,заку́порила
Past N,заку́порило
Past PL,заку́порили
Imp S,заку́пори
Imp PL,заку́порьте
