Infinitive,заулыба́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заулыба́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заулыба́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заулыба́юсь
2nd Sing,заулыба́ешься
3rd Sing,заулыба́ется
1st Pl,заулыба́емся
2nd Pl,заулыба́етесь
3rd Pl,заулыба́ются
Past M,заулыба́лся
Past F,заулыба́лась
Past N,заулыба́лось
Past PL,заулыба́лись
Imp S,заулыба́йся
Imp PL,заулыба́йтесь
