Infinitive,зачи́тывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зачи́тывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зачи́тывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зачи́тываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зачи́тывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,зачи́тывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,зачи́тывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,зачи́тываю
2nd Sing,зачи́тываешь
3rd Sing,зачи́тывает
1st Pl,зачи́тываем
2nd Pl,зачи́тываете
3rd Pl,зачи́тывают
Past M,зачи́тывал
Past F,зачи́тывала
Past N,зачи́тывало
Past PL,зачи́тывали
Imp S,зачи́тывай
Imp PL,зачи́тывайте
