Infinitive,зае́сть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зае́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зае́денный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зае́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зае́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зае́м
2nd Sing,зае́шь
3rd Sing,зае́ст
1st Pl,заеди́м
2nd Pl,заеди́те
3rd Pl,заедя́т
Past M,зае́л
Past F,зае́ла
Past N,зае́ло
Past PL,зае́ли
Imp S,зае́шь
Imp PL,зае́шьте
