Infinitive,закури́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закури́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заку́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закури́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закури́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закурю́
2nd Sing,заку́ришь
3rd Sing,заку́рит
1st Pl,заку́рим
2nd Pl,заку́рите
3rd Pl,заку́рят
Past M,закури́л
Past F,закури́ла
Past N,закури́ло
Past PL,закури́ли
Imp S,закури́
Imp PL,закури́те
