Infinitive,запусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запущу́
2nd Sing,запу́стишь
3rd Sing,запу́стит
1st Pl,запу́стим
2nd Pl,запу́стите
3rd Pl,запу́стят
Past M,запусти́л
Past F,запусти́ла
Past N,запусти́ло
Past PL,запусти́ли
Imp S,запусти́
Imp PL,запусти́те
