Infinitive,заколеба́ться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заколеба́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заколеба́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заколе́блюсь
2nd Sing,заколе́блешься
3rd Sing,заколе́блется
1st Pl,заколе́блемся
2nd Pl,заколе́блетесь
3rd Pl,заколе́блются
Past M,заколеба́лся
Past F,заколеба́лась
Past N,заколеба́лось
Past PL,заколеба́лись
Imp S,заколе́блись
Imp PL,заколе́блитесь
