Infinitive,запа́мятовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запа́мятовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запа́мятованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запа́мятовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запа́мятовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запа́мятую
2nd Sing,запа́мятуешь
3rd Sing,запа́мятует
1st Pl,запа́мятуем
2nd Pl,запа́мятуете
3rd Pl,запа́мятуют
Past M,запа́мятовал
Past F,запа́мятовала
Past N,запа́мятовало
Past PL,запа́мятовали
Imp S,запа́мятуй
Imp PL,запа́мятуйте
