Infinitive,загрести́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загрёбший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загребённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загрёбши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,загребу́
2nd Sing,загребёшь
3rd Sing,загребёт
1st Pl,загребём
2nd Pl,загребёте
3rd Pl,загребу́т
Past M,загрёб
Past F,загребла́
Past N,загребло́
Past PL,загребли́
Imp S,загреби́
Imp PL,загреби́те
