Infinitive,затре́бовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затре́бовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затре́бованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затре́бовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затре́бовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затре́бую
2nd Sing,затре́буешь
3rd Sing,затре́бует
1st Pl,затре́буем
2nd Pl,затре́буете
3rd Pl,затре́буют
Past M,затре́бовал
Past F,затре́бовала
Past N,затре́бовало
Past PL,затре́бовали
Imp S,затре́буй
Imp PL,затре́буйте
