Infinitive,загрузи́ть
Zaliznyak Class,4c // 4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загрузи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загру́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,загружённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,загрузи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,загрузи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,загружу́
2nd Sing,загру́зишь
3rd Sing,загру́зит
1st Pl,загру́зим
2nd Pl,загру́зите
3rd Pl,загру́зят
Past M,загрузи́л
Past F,загрузи́ла
Past N,загрузи́ло
Past PL,загрузи́ли
Imp S,загрузи́
Imp PL,загрузи́те
