Infinitive,замочи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замочи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замочи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замочу́
2nd Sing,замо́чишь
3rd Sing,замо́чит
1st Pl,замо́чим
2nd Pl,замо́чите
3rd Pl,замо́чат
Past M,замочи́л
Past F,замочи́ла
Past N,замочи́ло
Past PL,замочи́ли
Imp S,замочи́
Imp PL,замочи́те
