Infinitive,завя́знуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,завя́зший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,завя́знувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завя́знув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,завя́зши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,завя́зну
2nd Sing,завя́знешь
3rd Sing,завя́знет
1st Pl,завя́знем
2nd Pl,завя́знете
3rd Pl,завя́знут
Past M,завя́з
Past F,завя́зла
Past N,завя́зло
Past PL,завя́зли
Imp S,завя́зни
Imp PL,завя́зните
