Infinitive,заверну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заверну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заверну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заверну́сь
2nd Sing,завернёшься
3rd Sing,завернётся
1st Pl,завернёмся
2nd Pl,завернётесь
3rd Pl,заверну́тся
Past M,заверну́лся
Past F,заверну́лась
Past N,заверну́лось
Past PL,заверну́лись
Imp S,заверни́сь
Imp PL,заверни́тесь
