Infinitive,замурова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замурова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замуро́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замурова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замурова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замуру́ю
2nd Sing,замуру́ешь
3rd Sing,замуру́ет
1st Pl,замуру́ем
2nd Pl,замуру́ете
3rd Pl,замуру́ют
Past M,замурова́л
Past F,замурова́ла
Past N,замурова́ло
Past PL,замурова́ли
Imp S,замуру́й
Imp PL,замуру́йте
