Infinitive,запе́чься
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запёкшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запёкшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,запеку́сь
2nd Sing,запечёшься
3rd Sing,запечётся
1st Pl,запечёмся
2nd Pl,запечётесь
3rd Pl,запеку́тся
Past M,запёкся
Past F,запекла́сь
Past N,запекло́сь
Past PL,запекли́сь
Imp S,запеки́сь
Imp PL,запеки́тесь
