Infinitive,зака́шляться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зака́шлявшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зака́шлявшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зака́шляюсь
2nd Sing,зака́шляешься
3rd Sing,зака́шляется
1st Pl,зака́шляемся
2nd Pl,зака́шляетесь
3rd Pl,зака́шляются
Past M,зака́шлялся
Past F,зака́шлялась
Past N,зака́шлялось
Past PL,зака́шлялись
Imp S,зака́шляйся
Imp PL,зака́шляйтесь
