Infinitive,заинтригова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заинтригова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заинтриго́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заинтригова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заинтригова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заинтригу́ю
2nd Sing,заинтригу́ешь
3rd Sing,заинтригу́ет
1st Pl,заинтригу́ем
2nd Pl,заинтригу́ете
3rd Pl,заинтригу́ют
Past M,заинтригова́л
Past F,заинтригова́ла
Past N,заинтригова́ло
Past PL,заинтригова́ли
Imp S,заинтригу́й
Imp PL,заинтригу́йте
