Infinitive,запа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,запа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,запа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,западу́
2nd Sing,западёшь
3rd Sing,западёт
1st Pl,западём
2nd Pl,западёте
3rd Pl,западу́т
Past M,запа́л
Past F,запа́ла
Past N,запа́ло
Past PL,запа́ли
Imp S,запади́
Imp PL,запади́те
