Infinitive,затере́ть
Zaliznyak Class,9b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затёрший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затёртый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затёрши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затру́
2nd Sing,затрёшь
3rd Sing,затрёт
1st Pl,затрём
2nd Pl,затрёте
3rd Pl,затру́т
Past M,затёр
Past F,затёрла
Past N,затёрло
Past PL,затёрли
Imp S,затри́
Imp PL,затри́те
