Infinitive,захлестну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,захлестну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захлёстнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,захлестну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,захлестну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,захлестну́
2nd Sing,захлестнёшь
3rd Sing,захлестнёт
1st Pl,захлестнём
2nd Pl,захлестнёте
3rd Pl,захлестну́т
Past M,захлестну́л
Past F,захлестну́ла
Past N,захлестну́ло
Past PL,захлестну́ли
Imp S,захлестни́
Imp PL,захлестни́те
