Infinitive,завива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,завива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,завива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,завива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,завива́юсь
2nd Sing,завива́ешься
3rd Sing,завива́ется
1st Pl,завива́емся
2nd Pl,завива́етесь
3rd Pl,завива́ются
Past M,завива́лся
Past F,завива́лась
Past N,завива́лось
Past PL,завива́лись
Imp S,завива́йся
Imp PL,завива́йтесь
