Infinitive,замори́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замо́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заморю́
2nd Sing,замо́ришь
3rd Sing,замо́рит
1st Pl,замо́рим
2nd Pl,замо́рите
3rd Pl,замо́рят
Past M,замори́л
Past F,замори́ла
Past N,замори́ло
Past PL,замори́ли
Imp S,замори́
Imp PL,замори́те
