Infinitive,забива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,забива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,забива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,забива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,забива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,забива́юсь
2nd Sing,забива́ешься
3rd Sing,забива́ется
1st Pl,забива́емся
2nd Pl,забива́етесь
3rd Pl,забива́ются
Past M,забива́лся
Past F,забива́лась
Past N,забива́лось
Past PL,забива́лись
Imp S,забива́йся
Imp PL,забива́йтесь
