Infinitive,затопта́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затопта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зато́птанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затопта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затопта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затопчу́
2nd Sing,зато́пчешь
3rd Sing,зато́пчет
1st Pl,зато́пчем
2nd Pl,зато́пчете
3rd Pl,зато́пчут
Past M,затопта́л
Past F,затопта́ла
Past N,затопта́ло
Past PL,затопта́ли
Imp S,затопчи́
Imp PL,затопчи́те
