Infinitive,зараста́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зараста́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зараста́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зараста́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зараста́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,зараста́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,зараста́ю
2nd Sing,зараста́ешь
3rd Sing,зараста́ет
1st Pl,зараста́ем
2nd Pl,зараста́ете
3rd Pl,зараста́ют
Past M,зараста́л
Past F,зараста́ла
Past N,зараста́ло
Past PL,зараста́ли
Imp S,зараста́й
Imp PL,зараста́йте
