Infinitive,зарабо́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зарабо́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зарабо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зарабо́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зарабо́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зарабо́таю
2nd Sing,зарабо́таешь
3rd Sing,зарабо́тает
1st Pl,зарабо́таем
2nd Pl,зарабо́таете
3rd Pl,зарабо́тают
Past M,зарабо́тал
Past F,зарабо́тала
Past N,зарабо́тало
Past PL,зарабо́тали
Imp S,зарабо́тай
Imp PL,зарабо́тайте
