Infinitive,зарде́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зарде́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зарде́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зарде́юсь
2nd Sing,зарде́ешься
3rd Sing,зарде́ется
1st Pl,зарде́емся
2nd Pl,зарде́етесь
3rd Pl,зарде́ются
Past M,зарде́лся
Past F,зарде́лась
Past N,зарде́лось
Past PL,зарде́лись
Imp S,зарде́йся
Imp PL,зарде́йтесь
