Infinitive,зава́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зава́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зава́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зава́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зава́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зава́ливаюсь
2nd Sing,зава́ливаешься
3rd Sing,зава́ливается
1st Pl,зава́ливаемся
2nd Pl,зава́ливаетесь
3rd Pl,зава́ливаются
Past M,зава́ливался
Past F,зава́ливалась
Past N,зава́ливалось
Past PL,зава́ливались
Imp S,зава́ливайся
Imp PL,зава́ливайтесь
