Infinitive,запря́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запря́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запряжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запря́гши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,запрягу́
2nd Sing,запряжёшь
3rd Sing,запряжёт
1st Pl,запряжём
2nd Pl,запряжёте
3rd Pl,запрягу́т
Past M,запрёг
Past F,запрягла́
Past N,запрягло́
Past PL,запрягли́
Imp S,запряги́
Imp PL,запряги́те
