Infinitive,закрути́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,закрути́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закрути́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,закручу́сь
2nd Sing,закру́тишься
3rd Sing,закру́тится
1st Pl,закру́тимся
2nd Pl,закру́титесь
3rd Pl,закру́тятся
Past M,закрути́лся
Past F,закрути́лась
Past N,закрути́лось
Past PL,закрути́лись
Imp S,закрути́сь
Imp PL,закрути́тесь
