Infinitive,замота́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замота́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замота́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замота́ю
2nd Sing,замота́ешь
3rd Sing,замота́ет
1st Pl,замота́ем
2nd Pl,замота́ете
3rd Pl,замота́ют
Past M,замота́л
Past F,замота́ла
Past N,замота́ло
Past PL,замота́ли
Imp S,замота́й
Imp PL,замота́йте
