Infinitive,заколдова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заколдова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заколдо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заколдова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заколдова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заколду́ю
2nd Sing,заколду́ешь
3rd Sing,заколду́ет
1st Pl,заколду́ем
2nd Pl,заколду́ете
3rd Pl,заколду́ют
Past M,заколдова́л
Past F,заколдова́ла
Past N,заколдова́ло
Past PL,заколдова́ли
Imp S,заколду́й
Imp PL,заколду́йте
